# GAGE ( ANALOG network for IDs where YEAR <  2000)
# GAGE (DIGITAL network for IDs where YEAR >= 2000)
# MONTH for which rainfall is being aggregated
# S (season): W (wet, Jun-Oct) or D (dry)
# RAIN: total monthly rainfall in millimeters
gage,year,month,S,rain
RG001,1982,1,D,0.0
RG001,1982,2,D,0.0
RG001,1982,3,D,0.0
RG001,1982,4,D,0.0
RG001,1982,5,D,0.0
RG001,1982,6,W,0.0
RG001,1982,7,W,97.54
RG001,1982,8,W,58.93
RG001,1982,9,W,46.74
RG001,1982,11,D,0.0
RG001,1982,12,D,0.0
RG001,1983,1,D,0.0
RG001,1983,2,D,0.0
RG001,1983,3,D,0.0
RG001,1983,4,D,0.0
RG001,1983,5,D,0.0
RG001,1983,7,W,75.18
RG001,1983,8,W,55.88
RG001,1983,9,W,143.0
RG001,1983,10,W,48.77
RG001,1983,11,D,0.0
RG001,1983,12,D,0.0
RG001,1984,1,D,0.0
RG001,1984,4,D,0.0
RG001,1984,5,D,1.52
RG001,1984,6,W,23.62
RG001,1984,7,W,112.52
RG001,1984,8,W,145.8
RG001,1984,9,W,12.7
RG001,1984,10,W,40.39
RG001,1984,11,D,0.0
RG001,1984,12,D,0.0
RG001,1985,1,D,0.0
RG001,1985,2,D,0.0
RG001,1985,3,D,0.0
RG001,1985,4,D,0.0
RG001,1985,5,D,0.0
RG001,1985,6,W,0.0
RG001,1985,7,W,41.4
RG001,1985,8,W,77.72
RG001,1985,9,W,69.34
RG001,1985,10,W,53.85
RG001,1985,11,D,0.0
RG001,1985,12,D,0.0
RG001,1986,1,D,0.0
RG001,1986,2,D,0.0
RG001,1986,3,D,0.0
RG001,1986,4,D,0.0
RG001,1986,5,D,0.0
RG001,1986,6,W,8.38
RG001,1986,7,W,77.72
RG001,1986,8,W,158.75
RG001,1986,9,W,21.59
RG001,1986,10,W,21.34
RG001,1986,11,D,0.0
RG001,1986,12,D,0.0
RG001,1987,1,D,0.0
RG001,1987,2,D,0.0
RG001,1987,3,D,0.0
RG001,1987,4,D,0.0
RG001,1987,5,D,0.0
RG001,1987,6,W,0.0
RG001,1987,7,W,34.54
RG001,1987,8,W,101.09
RG001,1987,9,W,53.09
RG001,1987,10,W,9.91
RG001,1987,11,D,0.0
RG001,1987,12,D,0.0
RG001,1988,1,D,0.0
RG001,1988,2,D,0.0
RG001,1988,3,D,0.0
RG001,1988,4,D,0.0
RG001,1988,5,D,0.0
RG001,1988,6,W,0.0
RG001,1988,7,W,41.66
RG001,1988,8,W,98.55
RG001,1988,9,W,45.97
RG001,1988,10,W,81.28
RG001,1988,11,D,0.0
RG001,1988,12,D,0.0
RG001,1989,1,D,0.0
RG001,1989,2,D,0.0
RG001,1989,3,D,0.0
RG001,1989,5,D,0.0
RG001,1989,7,W,58.42
RG001,1989,8,W,16.0
RG001,1989,9,W,33.78
RG001,1989,10,W,44.45
RG001,1989,11,D,0.0
RG001,1989,12,D,0.0
RG001,1990,1,D,0.0
RG001,1990,2,D,0.0
RG001,1990,3,D,0.0
RG001,1990,4,D,0.0
RG001,1990,5,D,0.0
RG001,1990,6,W,0.76
RG001,1990,7,W,100.84
RG001,1990,8,W,100.58
RG001,1990,9,W,72.14
RG001,1990,10,W,23.62
RG001,1990,11,D,0.0
RG001,1990,12,D,0.0
RG001,1991,1,D,0.0
RG001,1991,2,D,0.0
RG001,1991,3,D,0.0
RG001,1991,5,D,0.0
RG001,1991,6,W,0.0
RG001,1991,7,W,17.02
RG001,1991,8,W,77.47
RG001,1991,9,W,58.67
RG001,1991,10,W,6.1
RG001,1991,11,D,4.06
RG001,1991,12,D,62.99
RG001,1992,1,D,28.45
RG001,1992,2,D,21.59
RG001,1992,3,D,49.28
RG001,1992,4,D,15.24
RG001,1992,5,D,49.28
RG001,1992,6,W,0.76
RG001,1992,7,W,77.98
RG001,1992,8,W,104.9
RG001,1992,9,W,3.3
RG001,1992,10,W,12.19
RG001,1992,11,D,0.51
RG001,1992,12,D,37.85
RG001,1993,1,D,128.52
RG001,1993,2,D,22.35
RG001,1993,3,D,8.89
RG001,1993,5,D,8.13
RG001,1993,6,W,0.0
RG001,1993,7,W,21.08
RG001,1993,8,W,85.09
RG001,1993,9,W,2.03
RG001,1993,10,W,8.38
RG001,1993,11,D,21.84
RG001,1993,12,D,3.3
RG001,1994,1,D,3.05
RG001,1994,2,D,6.6
RG001,1994,3,D,15.75
RG001,1994,4,D,0.0
RG001,1994,5,D,0.0
RG001,1994,6,W,11.68
RG001,1994,7,W,45.72
RG001,1994,8,W,53.59
RG001,1994,9,W,53.09
RG001,1994,10,W,2.54
RG001,1994,11,D,59.69
RG001,1994,12,D,71.12
RG001,1995,1,D,5.08
RG001,1995,2,D,22.35
RG001,1995,3,D,12.95
RG001,1995,4,D,1.27
RG001,1995,5,D,0.76
RG001,1995,6,W,1.78
RG001,1995,7,W,19.3
RG001,1995,8,W,74.68
RG001,1995,9,W,49.28
RG001,1995,10,W,19.81
RG001,1995,11,D,14.73
RG001,1995,12,D,4.32
RG001,1996,1,D,0.76
RG001,1996,2,D,7.87
RG001,1996,3,D,1.02
RG001,1996,4,D,1.78
RG001,1996,6,W,21.08
RG001,1996,7,W,119.38
RG001,1996,8,W,64.01
RG001,1996,9,W,21.59
RG001,1996,10,W,13.72
RG001,1996,11,D,3.81
RG001,1997,1,D,21.08
RG001,1997,2,D,8.89
RG001,1997,3,D,5.08
RG001,1997,4,D,5.84
RG001,1997,5,D,17.27
RG001,1997,7,W,37.34
RG001,1997,8,W,80.77
RG001,1997,9,W,103.38
RG001,1997,10,W,5.08
RG001,1997,11,D,12.45
RG001,1997,12,D,52.83
RG001,1998,1,D,1.02
RG001,1998,2,D,38.35
RG001,1998,3,D,17.02
RG001,1998,4,D,0.51
RG001,1998,6,W,0.76
RG001,1998,7,W,91.44
RG001,1998,8,W,26.42
RG001,1998,9,W,3.81
RG001,1998,10,W,0.0
RG001,1998,11,D,0.0
RG001,1998,12,D,0.0
RG001,1999,1,D,0.0
RG001,1999,3,D,0.0
RG001,1999,4,D,0.51
RG001,1999,6,W,34.29
RG001,1999,7,W,106.68
RG001,1999,8,W,136.14
RG001,1999,9,W,50.8
RG001,1999,10,W,0.0
RG001,1999,12,D,0.0
RG001,2000,1,D,0.0
RG001,2000,2,D,3.81
RG001,2000,3,D,9.271
RG001,2000,6,W,43.561
RG001,2000,7,W,37.211
RG001,2000,8,W,159.131
RG001,2000,9,W,4.064
RG001,2000,10,W,116.459
RG001,2000,11,D,26.035
RG001,2000,12,D,4.826
RG001,2001,1,D,41.529
RG001,2001,2,D,1.016
RG001,2001,3,D,7.112
RG001,2001,4,D,19.431
RG001,2001,5,D,9.144
RG001,2001,6,W,22.225
RG001,2001,7,W,93.091
RG001,2001,8,W,116.967
RG001,2001,9,W,43.434
RG001,2001,10,W,6.858
RG001,2001,11,D,3.048
RG001,2001,12,D,9.017
RG001,2002,1,D,2.159
RG001,2002,2,D,9.779
RG001,2002,3,D,0.0
RG001,2002,4,D,0.635
RG001,2002,6,W,2.032
RG001,2002,7,W,82.931
RG001,2002,8,W,36.576
RG001,2002,9,W,33.655
RG001,2002,10,W,10.033
RG001,2002,11,D,4.191
RG001,2002,12,D,15.113
RG001,2003,1,D,0.254
RG001,2003,2,D,31.115
RG001,2003,3,D,2.54
RG001,2003,5,D,9.906
RG001,2003,6,W,1.016
RG001,2003,7,W,80.264
RG001,2003,8,W,36.449
RG001,2003,9,W,49.784
RG001,2003,10,W,8.89
RG001,2003,11,D,15.494
RG001,2003,12,D,10.16
RG001,2004,1,D,16.383
RG001,2004,2,D,13.716
RG001,2004,3,D,23.114
RG001,2004,4,D,46.609
RG001,2004,5,D,0.0
RG001,2004,6,W,6.731
RG001,2004,7,W,22.098
RG001,2004,8,W,69.469
RG001,2004,9,W,24.384
RG001,2004,10,W,2.921
RG001,2004,11,D,8.89
RG001,2004,12,D,17.018
RG001,2005,1,D,19.431
RG001,2005,2,D,20.066
RG001,2005,3,D,0.254
RG001,2005,4,D,2.032
RG001,2005,5,D,24.384
RG001,2005,6,W,0.0
RG001,2005,7,W,49.784
RG001,2005,8,W,114.427
RG001,2005,9,W,14.097
RG001,2005,10,W,1.016
RG001,2005,12,D,4.318
RG001,2006,1,D,0.254
RG001,2006,2,D,3.429
RG001,2006,3,D,2.159
RG001,2006,5,D,0.0
RG001,2006,6,W,7.493
RG001,2006,7,W,100.33
RG001,2006,8,W,90.551
RG001,2006,9,W,70.485
RG001,2006,10,W,11.938
RG001,2006,12,D,4.318
RG001,2007,1,D,22.352
RG001,2007,2,D,0.762
RG001,2007,3,D,23.749
RG001,2007,4,D,2.794
RG001,2007,5,D,0.0
RG001,2007,6,W,33.147
RG001,2007,7,W,100.33
RG001,2007,8,W,43.307
RG001,2007,9,W,28.194
RG001,2007,10,W,1.524
RG001,2007,11,D,11.43
RG001,2007,12,D,6.477
