# GAGE (last 3 digits compatible with other WGc-codes)
# X, Y: coordinates for the "EPSG:26912" projection
# Z: elevation (m.a.s.l.) of the GAGE [OPTIONAL!]
# within_c: 1 for gages within WG, and 0 for gages outside WG-c [VERY OPTIONAL!!]
# with_dat: 1 for gages with data, and 0 for gages without data [VERY OPTIONAL!!]
gage,longitude,latitude,X,Y,Z,within_c,with_dat
RG020,-110.07709503173828,31.676372528076172,587480.9,3504934.4,1523.1,1,1
RG021,-110.059326171875,31.75244903564453,589092.3,3513381.5,1359.7,1,1
RG022,-110.0674057006836,31.738134384155273,588340.9,3511788.1,1344.3,1,1
RG023,-110.0594253540039,31.73239517211914,589102.1,3511158.4,1335.4,1,1
RG024,-110.06450653076172,31.711334228515625,588640.9,3508819.8,1390.0,1,1
RG025,-110.05233764648438,31.693708419799805,589810.9,3506876.0,1429.9,1,1
RG026,-110.06375122070312,31.6815185546875,588740.7,3505515.5,1488.7,1,1
RG027,-110.04542541503906,31.738367080688477,590422.4,3511831.9,1360.0,1,1
RG028,-110.04344940185547,31.721668243408203,590625.8,3509982.7,1373.6,1,1
RG029,-110.03128051757812,31.708904266357422,591791.7,3508578.1,1375.2,1,1
RG030,-110.03446960449219,31.685556411743164,591512.2,3505987.3,1451.6,1,1
RG031,-110.0243911743164,31.755104064941406,592398.8,3513704.9,1422.7,1,1
RG032,-110.02415466308594,31.736942291259766,592439.2,3511692.0,1387.8,1,1
RG033,-110.03125,31.726303100585938,591777.0,3510506.5,1393.2,1,1
RG034,-110.0402603149414,31.69882583618164,590950.2,3507453.3,1422.7,1,1
RG035,-110.0328369140625,31.69394874572754,591658.5,3506919.0,1414.3,1,1
RG036,-110.03675079345703,31.67654800415039,591304.9,3504986.8,1465.9,1,1
RG037,-110.01557922363281,31.686084747314453,593302.1,3506062.0,1409.1,1,1
RG038,-109.99999237060547,31.753385543823242,594711.1,3513535.3,1455.2,1,1
RG039,-110.01325988769531,31.733205795288086,593474.6,3511287.1,1423.0,1,1
RG040,-110.01459503173828,31.72414779663086,593357.4,3510281.8,1395.3,1,1
RG041,-110.01566314697266,31.704111099243164,593276.3,3508060.0,1414.2,1,1
RG042,-110.02230834960938,31.675918579101562,592674.9,3504929.3,1434.6,1,1
RG043,-109.99321746826172,31.76138687133789,595344.9,3514428.2,1467.7,1,1
RG044,-109.99762725830078,31.736156463623047,594953.1,3511627.7,1446.4,1,1
RG045,-110.00015258789062,31.72415542602539,594725.9,3510295.2,1431.4,1,1
RG046,-109.99439239501953,31.709243774414062,595286.6,3508647.3,1442.8,1,1
RG047,-110.00526428222656,31.69460678100586,594271.3,3507015.5,1420.9,1,1
RG048,-109.99152374267578,31.68214988708496,595586.2,3505646.5,1441.9,1,1
RG049,-110.00322723388672,31.678556442260742,594480.7,3505238.0,1439.8,1,1
RG050,-109.97711944580078,31.76560401916504,596864.5,3514909.8,1482.1,0,1
RG051,-109.99056243896484,31.749311447143555,595608.3,3513091.9,1464.0,1,1
RG052,-109.98111724853516,31.738927841186523,596513.8,3511949.3,1476.3,1,1
RG053,-109.9866714477539,31.717029571533203,596010.4,3509517.1,1418.2,1,1
RG054,-109.96293640136719,31.757020950317383,598217.3,3513971.1,1522.4,1,1
RG055,-109.94502258300781,31.753591537475586,599917.3,3513607.3,1554.4,1,1
RG056,-109.96183776855469,31.742115020751953,598337.1,3512319.9,1502.3,1,1
RG057,-109.98565673828125,31.728384017944336,596095.0,3510776.6,1464.2,1,1
RG058,-109.97175598144531,31.716808319091797,597423.7,3509505.8,1434.6,1,1
RG059,-109.9625473022461,31.707096099853516,598306.8,3508437.5,1467.1,1,1
RG060,-109.94786071777344,31.743202209472656,599659.5,3512453.1,1528.0,1,1
RG061,-109.95062255859375,31.73530387878418,599406.5,3511575.1,1504.4,1,1
RG062,-109.93869018554688,31.7304744720459,600542.0,3511050.6,1517.7,1,1
RG063,-109.9500503540039,31.718896865844727,599478.4,3509757.0,1471.2,1,1
RG064,-109.9305191040039,31.76097297668457,601283.1,3514438.9,1579.1,1,1
RG065,-109.93101501464844,31.74465560913086,601254.0,3512629.7,1555.4,1,1
RG066,-109.9228286743164,31.733604431152344,602041.7,3511412.4,1535.6,1,1
RG067,-109.91738891601562,31.763818740844727,602523.2,3514766.6,1615.5,1,1
RG068,-109.91177368164062,31.749509811401367,603070.8,3513185.9,1587.5,0,1
RG069,-109.90261840820312,31.76994514465332,603915.6,3515459.7,1643.9,1,1
RG070,-109.89881896972656,31.75860023498535,604287.9,3514205.8,1635.9,1,1
RG071,-110.03092956542969,31.74481773376465,591789.4,3512559.2,1394.9,1,1
RG072,-109.96178436279297,31.73168182373047,598353.3,3511163.4,1476.8,1,1
RG073,-110.00018310546875,31.762603759765625,594684.0,3514557.0,1448.0,0,1
RG074,-110.04386138916016,31.757749557495117,590551.8,3513981.8,1384.3,0,1
RG075,-110.08495330810547,31.75590705871582,586662.0,3513744.0,1298.0,0,1
RG076,-110.1279525756836,31.71949005126953,582621.5,3509674.1,1319.3,1,1
RG077,-110.01475524902344,31.66224479675293,593404.0,3503420.0,1425.0,0,1
RG078,-109.99620056152344,31.672212600708008,595153.0,3504541.0,1453.0,0,1
